"Gene","KEGG_ID"
"taes:606367","taes:606367"
"taes:780596","taes:780596"
"taes:780677","taes:780677"
"taes:100682413","taes:100682413"
"taes:100682506","taes:100682506"
"taes:123038214","taes:123038214"
"taes:123038886","taes:123038886"
"taes:123042750","taes:123042750"
"taes:123043077","taes:123043077"
"taes:123043125","taes:123043125"
"taes:123043269","taes:123043269"
"taes:123043482","taes:123043482"
"taes:123044441","taes:123044441"
"taes:123044662","taes:123044662"
"taes:123044980","taes:123044980"
"taes:123045313","taes:123045313"
"taes:123045761","taes:123045761"
"taes:123045993","taes:123045993"
"taes:123050649","taes:123050649"
"taes:123050789","taes:123050789"
"taes:123050972","taes:123050972"
"taes:123051026","taes:123051026"
"taes:123051135","taes:123051135"
"taes:123051342","taes:123051342"
"taes:123052304","taes:123052304"
"taes:123052891","taes:123052891"
"taes:123053148","taes:123053148"
"taes:123053645","taes:123053645"
"taes:123053800","taes:123053800"
"taes:123053862","taes:123053862"
"taes:123060892","taes:123060892"
"taes:123061060","taes:123061060"
"taes:123061175","taes:123061175"
"taes:123061608","taes:123061608"
"taes:123061628","taes:123061628"
"taes:123063298","taes:123063298"
"taes:123063924","taes:123063924"
"taes:123069208","taes:123069208"
"taes:123069513","taes:123069513"
"taes:123069648","taes:123069648"
"taes:123069649","taes:123069649"
"taes:123069747","taes:123069747"
"taes:123070231","taes:123070231"
"taes:123070247","taes:123070247"
"taes:123072275","taes:123072275"
"taes:123078014","taes:123078014"
"taes:123078214","taes:123078214"
"taes:123078683","taes:123078683"
"taes:123078694","taes:123078694"
"taes:123080506","taes:123080506"
"taes:123085323","taes:123085323"
"taes:123085815","taes:123085815"
"taes:123086241","taes:123086241"
"taes:123086904","taes:123086904"
"taes:123088562","taes:123088562"
"taes:123091065","taes:123091065"
"taes:123091785","taes:123091785"
"taes:123092189","taes:123092189"
"taes:123092719","taes:123092719"
"taes:123093677","taes:123093677"
"taes:123096080","taes:123096080"
"taes:123096815","taes:123096815"
"taes:123097526","taes:123097526"
"taes:123098016","taes:123098016"
"taes:123098925","taes:123098925"
"taes:123101294","taes:123101294"
"taes:123101999","taes:123101999"
"taes:123102103","taes:123102103"
"taes:123102535","taes:123102535"
"taes:123102902","taes:123102902"
"taes:123103709","taes:123103709"
"taes:123104335","taes:123104335"
"taes:123104909","taes:123104909"
"taes:123105182","taes:123105182"
