"","name","CleanNames","ShortAnnotation","Description"
"81","'ST 28:0;O6;Hex'","ST 28:0;O6;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[644.413565],Formula=[C34H60O11]"
"82","'ST 29:0;O5;Hex'","ST 29:0;O5;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[642.434300],Formula=[C35H62O10]"
"83","'ST 29:0;O6;Hex'","ST 29:0;O6;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[658.429215],Formula=[C35H62O11]"
"84","'ST 29:0;O7;Hex'","ST 29:0;O7;Hex","Sterol/Bile acid conjugates(In-silico)","MainClass=[Sterol/Bile acid conjugates(In-silico)],ExtendedClass=[Sterols],FunctionalClass=[Hexose conjugates(In-silico)],Mass=[674.424130],Formula=[C35H62O12]"
"85","'ST 30:0;O5;Hex'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"86","'ST 30:0;O6;GlCA/ST 30:1;O7;Hex'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"87","'ST 30:0;O6;Hex'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"88","'ST 30:0;O7;Hex'","NA","NA","MainClass=[NA],ExtendedClass=[NA],FunctionalClass=[NA],Mass=[NA],Formula=[NA]"
"89","'Cer 44:0;O4'","Cer 44:0;O4","Ceramides","MainClass=[Ceramides],ExtendedClass=[Sterols],FunctionalClass=[PhytoCer],Mass=[711.674074],Formula=[C44H89NO5]"
"90","'DG 21:6/ST 24:4;O5'","DG 21:6 | ST 24:4;O5","Diacyl alkylglycerides | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Sterols/C24 Bile acids(In-silico)],Mass=[402.24062434 | 402.240625],Formula=[C24H34O5]"
"91","'DG 21:6;O/ST 18:3;O;Hex/ST 24:4;O6'","DG 21:6;O | ST 18:3;O;Hex | ST 24:4;O6","Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)","MainClass=[Diacyl alkylglycerides | Sterol/Bile acid conjugates(In-silico) | Sterols/Bile acids(In-silico)],ExtendedClass=[Diacyl alkylglycerides | Sterols],FunctionalClass=[Diacyl alkylglycerides | Hexose conjugates(In-silico) | Sterols/C24 Bile acids(In-silico)],Mass=[418.23553897 | 418.235540],Formula=[C24H34O6]"
"92","'FA 12:0'","FA 12:0","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[200.1776301],Formula=[C12H24O2]"
"93","'FA 14:3'","FA 14:3","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[222.16198003],Formula=[C14H22O2]"
"94","'FA 15:4'","FA 15:4","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[234.16198003],Formula=[C15H22O2]"
"95","'FA 16:0;O/MG O-13:1'","FA 16:0;O | MG O-13:1","Fatty acids | Monoacyl alkylglycerides","MainClass=[Fatty acids | Monoacyl alkylglycerides],ExtendedClass=[Fatty acids | Monoacyl alkylglycerides],FunctionalClass=[Fatty acids | Monoacyl alkylglycerides],Mass=[272.23514501],Formula=[C16H32O3]"
"96","'FA 16:1'","FA 16:1","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[254.22458031],Formula=[C16H30O2]"
"97","'FA 16:1;O/MG O-13:2'","FA 16:1;O | MG O-13:2","Fatty acids | Monoacyl alkylglycerides","MainClass=[Fatty acids | Monoacyl alkylglycerides],ExtendedClass=[Fatty acids | Monoacyl alkylglycerides],FunctionalClass=[Fatty acids | Monoacyl alkylglycerides],Mass=[270.21949494],Formula=[C16H30O3]"
"98","'FA 16:4'","FA 16:4","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[248.1776301],Formula=[C16H24O2]"
"99","'FA 17:0'","FA 17:0","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[270.25588045],Formula=[C17H34O2]"
"100","'FA 17:1'","FA 17:1","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[268.24023038],Formula=[C17H32O2]"
"101","'FA 18:1;O2/MG 15:1/MG O-15:2;O'","FA 18:1;O2 | MG 15:1 | MG O-15:2;O","Fatty acids | Monoradylglycerols | Monoacyl alkylglycerides","MainClass=[Fatty acids | Monoradylglycerols | Monoacyl alkylglycerides],ExtendedClass=[Fatty acids | Sterols | Monoacyl alkylglycerides],FunctionalClass=[Fatty acids | MAG | Monoacyl alkylglycerides],Mass=[314.24570971 | 314.245710],Formula=[C18H34O4]"
"102","'FA 18:2;O/MG O-15:3'","FA 18:2;O | MG O-15:3","Fatty acids | Monoacyl alkylglycerides","MainClass=[Fatty acids | Monoacyl alkylglycerides],ExtendedClass=[Fatty acids | Monoacyl alkylglycerides],FunctionalClass=[Fatty acids | Monoacyl alkylglycerides],Mass=[296.23514501],Formula=[C18H32O3]"
"103","'FA 19:1'","FA 19:1","Fatty acids","MainClass=[Fatty acids],ExtendedClass=[Fatty acids],FunctionalClass=[Fatty acids],Mass=[296.27153052],Formula=[C19H36O2]"
"104","'FA 20:5/ST 20:2;O2'","FA 20:5 | NA","Fatty acids | NA","MainClass=[Fatty acids | NA],ExtendedClass=[Fatty acids | NA],FunctionalClass=[Fatty acids | NA],Mass=[302.22458031 | NA],Formula=[C20H30O2 | NA]"
